player,comp,round,date,venue,opp,pos,min,type,assisted
ronaldo,Premier League,24,1/31/2009,H,Everton  ,LW,43',Penalty,
ronaldo,FA Cup,Fifth Round,2/15/2009,A,Derby,CF,68',Header,Ryan Giggs
ronaldo,Premier League,26,2/21/2009,H,Blackburn  ,,60',Direct free kick,
ronaldo,Champions League,last 16,3/11/2009,H,Inter,RW,49',Header,Wayne Rooney
ronaldo,Premier League,29,3/14/2009,H,Liverpool  ,RW,22',Penalty,
ronaldo,Premier League,31,4/5/2009,H,Aston Villa  ,RW,11',Direct free kick,
ronaldo,,,,,,,80',Right-footed shot,Michael Carrick
ronaldo,Champions League,Quarter-Finals,4/15/2009,A,FC Porto,RW,6',Long distance kick,Anderson
ronaldo,Premier League,34,4/25/2009,H,Spurs  ,RW,57',Penalty,
ronaldo,,,,,,,68',Header,Wayne Rooney
ronaldo,Champions League,Semi-Finals,5/5/2009,A,Arsenal,CF,11',Direct free kick,
ronaldo,,,,,,,61',Right-footed shot,Wayne Rooney
ronaldo,Premier League,36,5/10/2009,H,Man City  ,RW,17',Direct free kick,
ronaldo,LaLiga,1,8/29/2009,H,Dep. La Coruña  ,RW,34',Penalty,
ronaldo,LaLiga,2,9/12/2009,A,Espanyol  ,,90',Right-footed shot,Guti
ronaldo,Champions League,Group Stage,9/15/2009,A,FC Zürich,LW,27',Direct free kick,
ronaldo,,,,,,,89',Direct free kick,
ronaldo,LaLiga,3,9/20/2009,H,Xerez CD  ,RW,1',Right-footed shot,
ronaldo,,,,,,,75',Header,Esteban Granero
ronaldo,LaLiga,4,9/23/2009,A,Villarreal  ,CF,2',Right-footed shot,
ronaldo,Champions League,Group Stage,9/30/2009,H,Marseille,LW,58',Left-footed shot,Pepe
ronaldo,,,,,,,64',Right-footed shot,Karim Benzema
ronaldo,LaLiga,13,12/5/2009,H,UD Almería  ,CF,84',Right-footed shot,Gonzalo Higuaín
ronaldo,Champions League,Group Stage,12/8/2009,A,Marseille,CF,5',Direct free kick,
ronaldo,,,,,,,80',Right-footed shot,Lassana Diarra
ronaldo,LaLiga,15,12/19/2009,H,Real Zaragoza  ,CF,50',Left-footed shot,Ezequiel Garay
ronaldo,LaLiga,19,1/24/2010,H,Málaga CF  ,RW,35',Right-footed shot,Kaká
ronaldo,,,,,,,39',Right-footed shot,Guti
ronaldo,LaLiga,22,2/13/2010,A,Xerez CD  ,,69',Header,Kaká
ronaldo,,,,,,,71',Left-footed shot,Kaká
ronaldo,LaLiga,23,2/21/2010,H,Villarreal  ,,18',Direct free kick,
ronaldo,LaLiga,24,2/27/2010,A,CD Tenerife  ,,78',Penalty,
ronaldo,LaLiga,25,3/6/2010,H,Sevilla FC  ,CF,59',Left-footed shot,
ronaldo,Champions League,last 16,3/10/2010,H,Olympique Lyon,LW,6',Left-footed shot,Guti
ronaldo,LaLiga,26,3/14/2010,A,Real Valladolid  ,CF,29',Direct free kick,
ronaldo,LaLiga,28,3/25/2010,A,Getafe  ,,13',Direct free kick,
ronaldo,,,,,,,36',Right-footed shot,
ronaldo,LaLiga,30,4/4/2010,A,Racing  ,,23',Penalty,
ronaldo,LaLiga,32,4/15/2010,A,UD Almería  ,,26',Left-footed shot,
ronaldo,LaLiga,33,4/18/2010,H,Valencia  ,CF,77',Right-footed shot,Marcelo
